Week,Town,Year,Month,Case_Count,Case_Lag1W,Case_Lag2W,Case_Lag3W,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,Temp_Lag2W,Temp_Lag4W,Temp_Lag6W,Temp_Lag8W,Rain_Lag2W,Rain_Lag4W,Rain_Lag6W,Rain_Lag8W,BI,CI,HI,LI,AI,PI,Con100HH,BI_Lag2W,CI_Lag2W,HI_Lag2W,LI_Lag2W,AI_Lag2W,PI_Lag2W,Con100HH_Lag2W,Population density,RT
2013-04-15,歸仁區,2013,4,0.0,0.0,0.0,0.0,25.457142857142856,6.5,75.57142857142857,22.7,4.7,1.0,22.942857142857143,25.085714285714285,20.857142857142858,19.67142857142857,90.2,0.5,0.0,0.0,1.0,1.8515,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.771134567576,0.01
2013-04-22,歸仁區,2013,4,0.0,0.0,0.0,0.0,24.842857142857145,6.6000000000000005,76.14285714285714,35.8,10.6,11.0,21.428571428571427,23.5,22.342857142857145,20.37142857142857,9.5,5.0,0.0,0.0,2.0,5.836666666666667,2.0,32.666666666666664,0.0,0.0,2.0,0.4545,2.08325,0.4545,0.0,0.0,0.0,0.4525,1198.771134567576,0.01
2013-04-29,歸仁區,2013,4,0.0,0.0,0.0,0.0,25.17142857142857,5.957142857142857,78.0,26.8,9.700000000000001,12.0,25.457142857142856,22.942857142857143,25.085714285714285,20.857142857142858,1.0,90.2,0.5,0.0,2.0,5.836666666666667,2.0,32.666666666666664,0.0,0.0,2.0,0.4545,2.08325,0.4545,0.0,0.0,0.0,0.4525,1198.771134567576,0.01
2013-05-06,歸仁區,2013,5,0.0,0.0,0.0,0.0,27.12857142857143,5.2,77.0,27.1,5.1000000000000005,10.0,24.842857142857145,21.428571428571427,23.5,22.342857142857145,11.0,9.5,5.0,0.0,1.0106,4.728199999999999,0.858,15.267,0.0,0.0,1.01,1.0,1.8515,1.0,0.0,0.0,0.0,1.0,1200.1692020081985,0.01
2013-05-13,歸仁區,2013,5,0.0,0.0,0.0,0.0,27.357142857142858,4.914285714285714,83.71428571428571,23.2,17.9,203.0,25.17142857142857,25.457142857142856,22.942857142857143,25.085714285714285,12.0,1.0,90.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.836666666666667,2.0,32.666666666666664,0.0,0.0,2.0,1200.1692020081985,0.01
2013-05-20,歸仁區,2013,5,0.0,0.0,0.0,0.0,27.8,5.928571428571429,79.57142857142857,33.3,11.299999999999999,54.0,27.12857142857143,24.842857142857145,21.428571428571427,23.5,10.0,11.0,9.5,5.0,6.0,7.5,6.0,6.0,0.0,0.0,6.0,1.0106,4.728199999999999,0.858,15.267,0.0,0.0,1.01,1200.1692020081985,0.01
2013-05-27,歸仁區,2013,5,0.0,0.0,0.0,0.0,29.571428571428573,6.114285714285714,73.0,69.5,1.4,7.0,27.357142857142858,25.17142857142857,25.457142857142856,22.942857142857143,203.0,12.0,1.0,90.2,1.818,4.166,1.818,90.909,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.1692020081985,0.01
2013-06-03,歸仁區,2013,6,0.0,0.0,0.0,0.0,29.87142857142857,6.285714285714286,71.28571428571429,62.6,0.2,0.5,27.8,27.12857142857143,24.842857142857145,21.428571428571427,54.0,10.0,11.0,9.5,3.0,3.191,3.0,0.0,0.0,0.0,3.0,6.0,7.5,6.0,6.0,0.0,0.0,6.0,1201.1012469686134,0.01
2013-06-10,歸仁區,2013,6,0.0,0.0,0.0,0.0,29.071428571428573,6.3999999999999995,78.85714285714286,22.3,10.2,64.5,29.571428571428573,27.357142857142858,25.17142857142857,25.457142857142856,7.0,203.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818,4.166,1.818,90.909,0.0,0.0,1.81,1201.1012469686134,0.01
2013-06-17,歸仁區,2013,6,0.0,0.0,0.0,0.0,29.942857142857143,6.271428571428572,71.71428571428571,43.5,1.5,6.5,29.87142857142857,27.8,27.12857142857143,24.842857142857145,0.5,54.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.191,3.0,0.0,0.0,0.0,3.0,1201.1012469686134,0.01
2013-06-24,歸仁區,2013,6,0.0,0.0,0.0,0.0,29.157142857142855,5.814285714285715,78.14285714285714,53.3,14.3,162.0,29.071428571428573,29.571428571428573,27.357142857142858,25.17142857142857,64.5,7.0,203.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.1012469686134,0.01
2013-07-01,歸仁區,2013,7,0.0,0.0,0.0,0.0,30.214285714285715,6.628571428571428,70.71428571428571,67.5,0.0,0.0,29.942857142857143,29.87142857142857,27.8,27.12857142857143,6.5,0.5,54.0,10.0,1.2,4.0,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.3200749937714,0.01
2013-07-08,歸仁區,2013,7,0.0,0.0,0.0,0.0,28.442857142857143,6.328571428571429,76.57142857142857,35.7,17.2,100.9,29.157142857142855,29.071428571428573,29.571428571428573,27.357142857142858,162.0,64.5,7.0,203.0,0.6666666666666666,2.7776666666666667,0.6666666666666666,6.666666666666667,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.3200749937714,0.01
2013-07-15,歸仁區,2013,7,0.0,0.0,0.0,0.0,29.12857142857143,6.357142857142857,72.85714285714286,27.8,5.5,27.5,30.214285714285715,29.942857142857143,29.87142857142857,27.8,0.0,6.5,0.5,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.0,1.2,0.0,0.0,0.0,1.2,1202.3200749937714,0.01
2013-07-22,歸仁區,2013,7,0.0,0.0,0.0,0.0,29.542857142857144,6.542857142857143,72.42857142857143,63.699999999999996,2.2,5.5,28.442857142857143,29.157142857142855,29.071428571428573,29.571428571428573,100.9,162.0,64.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.7776666666666667,0.6666666666666666,6.666666666666667,0.0,0.0,0.6666666666666666,1202.3200749937714,0.01
2013-07-29,歸仁區,2013,7,0.0,0.0,0.0,0.0,29.571428571428573,6.542857142857143,73.42857142857143,44.9,3.6,19.0,29.12857142857143,30.214285714285715,29.942857142857143,29.87142857142857,27.5,0.0,6.5,0.5,0.6286666666666666,6.666666666666667,0.6286666666666666,0.0,0.0,0.0,0.6266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.3200749937714,0.01
2013-08-05,歸仁區,2013,8,0.0,0.0,0.0,0.0,30.37142857142857,6.6571428571428575,71.28571428571429,71.8,2.2,37.5,29.542857142857144,28.442857142857143,29.157142857142855,29.071428571428573,5.5,100.9,162.0,64.5,1.2,2.7616,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.750249590886,0.01
2013-08-12,歸仁區,2013,8,0.0,0.0,0.0,0.0,29.085714285714285,6.314285714285715,77.0,31.3,5.7,19.5,29.571428571428573,29.12857142857143,30.214285714285715,29.942857142857143,19.0,27.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6286666666666666,6.666666666666667,0.6286666666666666,0.0,0.0,0.0,0.6266666666666666,1202.750249590886,0.01
2013-08-19,歸仁區,2013,8,0.0,0.0,0.0,0.0,28.24285714285714,5.2,83.57142857142857,29.4,37.3,219.0,30.37142857142857,29.542857142857144,28.442857142857143,29.157142857142855,37.5,5.5,100.9,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6286666666666666,6.666666666666667,0.6286666666666666,0.0,0.0,0.0,0.6266666666666666,1202.750249590886,0.01
