Week,Town,Mean(R),Quantile.0.025(R),Quantile.0.975(R)
2020-04-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-04-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-04-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-04-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-05-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-05-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-05-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-05-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-06-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-06-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-06-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-06-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-06-29,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-07-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-07-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-07-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-07-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-08-03,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-08-10,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-08-17,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-08-24,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-08-31,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-09-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-09-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-09-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-09-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-10-05,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-10-12,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-10-19,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-10-26,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-11-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-11-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-11-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-11-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-11-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-12-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-12-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-12-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-12-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-01-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-01-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-01-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-01-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-02-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-02-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-02-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-02-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-03-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-03-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-03-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-03-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-03-29,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-04-05,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-04-12,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-04-19,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-04-26,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-05-03,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-05-10,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-05-17,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-05-24,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-05-31,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-06-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-06-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-06-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-06-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-07-05,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-07-12,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
